                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.73308,                 2.8088,                0.98462,                0.01422,                 0.9697,                0.26201,                0.22773,                 0.4418,                 2.8718,                0.82237,                      0,                      0,                      0
                      1,                0.72737,                 2.9968,                0.90264,                0.01422,                 0.9697,                0.31104,                 0.2595,                0.43096,                 2.8674,                0.81907,             1.9901e-05,             1.9901e-05,             1.9901e-05
                      2,                0.64183,                 2.8684,                0.89548,                0.01444,                0.98485,                0.35963,                0.31539,                0.42635,                 2.8604,                0.81863,             3.9604e-05,             3.9604e-05,             3.9604e-05
                      3,                0.63321,                 2.7758,                0.87464,                0.01444,                0.98485,                0.41551,                0.36368,                0.43317,                 2.8445,                0.81693,             5.9109e-05,             5.9109e-05,             5.9109e-05
                      4,                0.55993,                 2.5209,                0.89781,                0.01444,                0.98485,                0.46866,                0.42161,                0.43848,                 2.8199,                0.81516,             7.8416e-05,             7.8416e-05,             7.8416e-05
                      5,                0.66765,                 2.3552,                0.94673,                0.01444,                0.98485,                0.52987,                0.46551,                0.45235,                 2.7861,                0.81116,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      6,                0.55943,                 2.1333,                0.88696,                0.01444,                0.98485,                0.56244,                0.48936,                0.43932,                 2.7557,                0.80544,             0.00011644,             0.00011644,             0.00011644
                      7,                0.53087,                 1.8352,                0.83795,                0.01444,                0.98485,                0.58452,                0.51254,                0.42167,                 2.7138,                0.79712,             0.00013515,             0.00013515,             0.00013515
                      8,                0.53068,                 1.4476,                0.85974,                0.01467,                      1,                0.61706,                0.53713,                 0.4305,                 2.6441,                0.79487,             0.00015366,             0.00015366,             0.00015366
                      9,                0.49144,                 1.1608,                0.86471,                0.36227,                0.65152,                0.62121,                0.53366,                0.46377,                 2.5713,                0.79596,             0.00017198,             0.00017198,             0.00017198
                     10,                0.55375,                 0.9396,                  0.885,                      1,                0.25526,                  0.628,                0.53606,                0.50025,                 2.5117,                0.80248,              0.0001901,              0.0001901,              0.0001901
                     11,                0.55262,                0.82234,                0.86555,                      1,                0.22312,                0.63445,                0.55268,                0.49426,                 2.4517,                 0.8017,             0.00020802,             0.00020802,             0.00020802
                     12,                0.55116,                0.79329,                0.86801,                      1,                0.35449,                0.65193,                  0.574,                0.49868,                 2.3903,                0.80617,             0.00022574,             0.00022574,             0.00022574
                     13,                0.49912,                0.84271,                0.87371,                      1,                0.34793,                0.70058,                0.63186,                0.49215,                 2.3516,                0.80601,             0.00024327,             0.00024327,             0.00024327
                     14,                0.53786,                0.70724,                0.89763,                      1,                0.31543,                0.69388,                 0.6331,                0.46873,                 2.3353,                0.80424,              0.0002606,              0.0002606,              0.0002606
                     15,                0.53763,                0.74679,                0.85133,                      1,                0.32634,                0.67336,                0.61601,                0.47558,                 2.2986,                 0.8042,             0.00027773,             0.00027773,             0.00027773
                     16,                0.57319,                0.78924,                0.89962,                      1,                0.34029,                0.64326,                0.58648,                0.49029,                  2.277,                0.80783,             0.00029466,             0.00029466,             0.00029466
                     17,                0.48934,                0.72017,                0.86088,                      1,                0.34029,                0.64326,                0.58648,                0.49029,                  2.277,                0.80783,             0.00031139,             0.00031139,             0.00031139
