                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                0.55816,                0.76352,                0.81979,                0.78577,                0.33344,                0.57401,                0.52101,                0.48934,                 2.2723,                0.81124,             0.00032792,             0.00032792,             0.00032792
                     19,                0.54082,                0.78107,                0.85369,                0.78577,                0.33344,                0.57401,                0.52101,                0.48934,                 2.2723,                0.81124,             0.00034426,             0.00034426,             0.00034426
                     20,                0.50556,                0.71136,                0.84957,                0.61197,                0.33333,                0.53881,                0.49994,                0.51087,                 2.2816,                0.81837,              0.0003604,              0.0003604,              0.0003604
                     21,                0.51467,                0.67337,                0.84991,                0.61197,                0.33333,                0.53881,                0.49994,                0.51087,                 2.2816,                0.81837,             0.00037634,             0.00037634,             0.00037634
                     22,                0.56025,                 0.7071,                0.85632,                0.75472,                0.31818,                0.47985,                0.44845,                0.51625,                  2.279,                0.82742,             0.00039208,             0.00039208,             0.00039208
                     23,                 0.5638,                0.66059,                0.86503,                0.75472,                0.31818,                0.47985,                0.44845,                0.51625,                  2.279,                0.82742,             0.00040763,             0.00040763,             0.00040763
                     24,                0.53504,                0.63112,                0.81289,                0.89913,                0.31818,                0.51127,                0.46886,                0.54733,                 2.2305,                0.83806,             0.00042298,             0.00042298,             0.00042298
                     25,                 0.5944,                0.73899,                0.89591,                0.89913,                0.31818,                0.51127,                0.46886,                0.54733,                 2.2305,                0.83806,             0.00043812,             0.00043812,             0.00043812
                     26,                 0.5995,                0.76083,                0.86028,                0.75389,                0.37879,                0.57103,                0.51238,                0.55234,                  2.127,                0.84503,             0.00045308,             0.00045308,             0.00045308
                     27,                0.56118,                0.67747,                0.83243,                0.75389,                0.37879,                0.57103,                0.51238,                0.55234,                  2.127,                0.84503,             0.00046783,             0.00046783,             0.00046783
                     28,                0.52871,                0.66609,                 0.8734,                0.96185,                0.38208,                0.60418,                0.54887,                 0.5242,                 2.0361,                0.82905,             0.00048238,             0.00048238,             0.00048238
                     29,                0.54873,                0.75737,                0.90594,                0.96185,                0.38208,                0.60418,                0.54887,                 0.5242,                 2.0361,                0.82905,             0.00049674,             0.00049674,             0.00049674
                     30,                0.54881,                0.69376,                0.88937,                0.93323,                0.42358,                0.62838,                0.57924,                0.53156,                 1.9991,                0.82714,              0.0005109,              0.0005109,              0.0005109
                     31,                0.52711,                0.67873,                0.88069,                0.93323,                0.42358,                0.62838,                0.57924,                0.53156,                 1.9991,                0.82714,             0.00052486,             0.00052486,             0.00052486
                     32,                0.56586,                0.70554,                0.88464,                0.93131,                0.41093,                0.62987,                0.58164,                0.53219,                 1.9766,                0.83547,             0.00053862,             0.00053862,             0.00053862
                     33,                0.57642,                0.68783,                0.87572,                0.93131,                0.41093,                0.62987,                0.58164,                0.53219,                 1.9766,                0.83547,             0.00055219,             0.00055219,             0.00055219
                     34,                0.54097,                 0.6704,                0.86789,                0.90814,                0.39394,                0.63618,                0.59233,                0.51966,                 1.9733,                0.83761,             0.00056556,             0.00056556,             0.00056556
                     35,                0.58441,                 0.7211,                 0.8633,                0.90814,                0.39394,                0.63618,                0.59233,                0.51966,                 1.9733,                0.83761,             0.00057872,             0.00057872,             0.00057872
                     36,                0.53065,                0.68861,                 0.8658,                      1,                0.38811,                0.74415,                0.66914,                0.54143,                 1.9432,                0.84914,              0.0005917,              0.0005917,              0.0005917
                     37,                0.51803,                0.67779,                 0.9096,                      1,                0.38811,                0.74415,                0.66914,                0.54143,                 1.9432,                0.84914,             0.00060447,             0.00060447,             0.00060447
                     38,                0.61603,                  0.705,                0.92439,                      1,                0.37585,                0.79905,                0.72898,                 0.5272,                 1.9152,                 0.8172,             0.00061704,             0.00061704,             0.00061704
                     39,                0.56306,                0.65726,                0.88417,                      1,                0.37585,                0.79905,                0.72898,                 0.5272,                 1.9152,                 0.8172,             0.00062942,             0.00062942,             0.00062942
                     40,                0.53674,                0.65275,                0.86616,                0.93994,                0.47434,                0.81888,                0.72779,                0.53664,                 1.8538,                0.81893,              0.0006416,              0.0006416,              0.0006416
                     41,                0.57438,                0.65253,                0.89894,                0.93994,                0.47434,                0.81888,                0.72779,                0.53664,                 1.8538,                0.81893,             0.00065358,             0.00065358,             0.00065358
                     42,                0.58537,                0.64487,                0.94289,                0.97499,                0.59071,                0.85922,                0.75535,                0.56189,                 1.7559,                 0.8362,             0.00066536,             0.00066536,             0.00066536
                     43,                0.51549,                0.61273,                0.83682,                0.97499,                0.59071,                0.85922,                0.75535,                0.56189,                 1.7559,                 0.8362,             0.00067695,             0.00067695,             0.00067695
                     44,                0.51273,                0.63618,                0.85772,                0.96172,                0.66667,                0.86599,                0.77463,                0.54884,                 1.6843,                0.83508,             0.00068834,             0.00068834,             0.00068834
                     45,                0.53936,                  0.609,                0.85545,                0.96172,                0.66667,                0.86599,                0.77463,                0.54884,                 1.6843,                0.83508,             0.00069953,             0.00069953,             0.00069953
                     46,                0.59529,                0.64639,                0.87056,                0.88103,                0.67331,                0.82782,                0.75172,                0.51886,                 1.6692,                0.84172,             0.00071052,             0.00071052,             0.00071052
                     47,                0.51608,                0.63214,                0.83759,                0.88103,                0.67331,                0.82782,                0.75172,                0.51886,                 1.6692,                0.84172,             0.00072131,             0.00072131,             0.00072131
                     48,                0.53293,                0.60661,                0.83125,                0.86771,                0.69569,                0.81962,                0.72875,                 0.5636,                 1.6681,                0.85111,              0.0007319,              0.0007319,              0.0007319
                     49,                0.61128,                  0.653,                0.91498,                0.86771,                0.69569,                0.81962,                0.72875,                 0.5636,                 1.6681,                0.85111,              0.0007423,              0.0007423,              0.0007423
                     50,                0.60117,                 0.6492,                0.87903,                      1,                 0.6515,                0.89847,                0.78197,                0.58651,                 1.6842,                0.85135,              0.0007525,              0.0007525,              0.0007525
                     51,                0.64968,                0.71044,                0.91803,                      1,                 0.6515,                0.89847,                0.78197,                0.58651,                 1.6842,                0.85135,              0.0007625,              0.0007625,              0.0007625
                     52,                0.65722,                0.61929,                0.87444,                      1,                 0.6515,                0.89847,                0.78197,                0.58651,                 1.6842,                0.85135,              0.0007723,              0.0007723,              0.0007723
                     53,                0.54483,                0.59392,                0.84923,                      1,                0.74587,                0.93132,                0.82152,                0.56053,                 1.6398,                0.84698,             0.00078191,             0.00078191,             0.00078191
                     54,                0.55777,                0.62925,                0.88828,                      1,                0.74587,                0.93132,                0.82152,                0.56053,                 1.6398,                0.84698,             0.00079132,             0.00079132,             0.00079132
                     55,                0.53185,                0.59365,                0.82958,                      1,                0.74587,                0.93132,                0.82152,                0.56053,                 1.6398,                0.84698,             0.00080053,             0.00080053,             0.00080053
                     56,                0.57223,                0.60808,                0.88394,                  0.991,                0.74242,                0.93101,                0.82484,                0.57107,                 1.6316,                0.84095,             0.00080954,             0.00080954,             0.00080954
                     57,                0.59695,                0.68578,                0.89792,                  0.991,                0.74242,                0.93101,                0.82484,                0.57107,                 1.6316,                0.84095,             0.00081835,             0.00081835,             0.00081835
                     58,                0.56461,                0.62766,                0.85402,                  0.991,                0.74242,                0.93101,                0.82484,                0.57107,                 1.6316,                0.84095,             0.00082696,             0.00082696,             0.00082696
                     59,                0.61289,                0.80824,                0.89905,                0.94631,                0.68182,                 0.8819,                0.78478,                0.57123,                 1.7022,                0.83845,             0.00083538,             0.00083538,             0.00083538
                     60,                0.56109,                0.58509,                0.82929,                0.94631,                0.68182,                 0.8819,                0.78478,                0.57123,                 1.7022,                0.83845,              0.0008436,              0.0008436,              0.0008436
                     61,                0.57197,                0.61789,                0.86929,                0.94631,                0.68182,                 0.8819,                0.78478,                0.57123,                 1.7022,                0.83845,             0.00085162,             0.00085162,             0.00085162
                     62,                0.55105,                0.59517,                0.87602,                0.89136,                0.62155,                0.82985,                0.72443,                0.56993,                 1.7456,                0.84718,             0.00085944,             0.00085944,             0.00085944
                     63,                 0.5959,                0.61999,                0.88176,                0.89136,                0.62155,                0.82985,                0.72443,                0.56993,                 1.7456,                0.84718,             0.00086707,             0.00086707,             0.00086707
                     64,                0.55089,                0.65844,                0.87433,                0.89136,                0.62155,                0.82985,                0.72443,                0.56993,                 1.7456,                0.84718,              0.0008745,              0.0008745,              0.0008745
                     65,                0.57655,                0.65764,                0.84682,                0.95559,                0.65209,                0.85394,                0.74081,                0.59709,                  1.708,                0.85719,             0.00088173,             0.00088173,             0.00088173
                     66,                0.64516,                0.63761,                0.89728,                0.95559,                0.65209,                0.85394,                0.74081,                0.59709,                  1.708,                0.85719,             0.00088876,             0.00088876,             0.00088876
                     67,                0.60171,                0.65816,                0.89911,                0.95559,                0.65209,                0.85394,                0.74081,                0.59709,                  1.708,                0.85719,             0.00089559,             0.00089559,             0.00089559
                     68,                0.59359,                0.61934,                0.87552,                 0.8358,                0.60606,                0.80676,                0.70974,                 0.5802,                 1.6312,                0.86292,             0.00090222,             0.00090222,             0.00090222
                     69,                0.51491,                0.60921,                0.85647,                 0.8358,                0.60606,                0.80676,                0.70974,                 0.5802,                 1.6312,                0.86292,             0.00090866,             0.00090866,             0.00090866
                     70,                0.52373,                0.59384,                0.82871,                 0.8358,                0.60606,                0.80676,                0.70974,                 0.5802,                 1.6312,                0.86292,              0.0009149,              0.0009149,              0.0009149
                     71,                0.57168,                0.61819,                0.89923,                0.55908,                0.57635,                   0.64,                0.57023,                0.57159,                 1.6302,                 0.8745,             0.00092094,             0.00092094,             0.00092094
                     72,                0.61313,                0.58807,                0.85687,                0.55908,                0.57635,                   0.64,                0.57023,                0.57159,                 1.6302,                 0.8745,             0.00092678,             0.00092678,             0.00092678
                     73,                0.59367,                0.58639,                0.84425,                0.55908,                0.57635,                   0.64,                0.57023,                0.57159,                 1.6302,                 0.8745,             0.00093243,             0.00093243,             0.00093243
                     74,                0.65687,                0.67062,                0.91672,                0.39048,                 0.5339,                0.52886,                0.47366,                0.58836,                 1.6412,                 0.8772,             0.00093788,             0.00093788,             0.00093788
                     75,                0.60835,                0.63284,                0.88638,                0.39048,                 0.5339,                0.52886,                0.47366,                0.58836,                 1.6412,                 0.8772,             0.00094313,             0.00094313,             0.00094313
                     76,                0.59533,                0.62546,                0.87824,                0.39048,                 0.5339,                0.52886,                0.47366,                0.58836,                 1.6412,                 0.8772,             0.00094818,             0.00094818,             0.00094818
                     77,                0.59025,                0.60239,                0.86064,                0.50263,                0.57576,                 0.5887,                0.53547,                0.56674,                 1.5862,                0.84916,             0.00095303,             0.00095303,             0.00095303
                     78,                0.58888,                0.69052,                0.93367,                0.50263,                0.57576,                 0.5887,                0.53547,                0.56674,                 1.5862,                0.84916,             0.00095768,             0.00095768,             0.00095768
                     79,                0.53404,                0.61469,                0.86711,                0.50263,                0.57576,                 0.5887,                0.53547,                0.56674,                 1.5862,                0.84916,             0.00096214,             0.00096214,             0.00096214
                     80,                0.52518,                0.58627,                0.85252,                0.54587,                0.69697,                0.63323,                0.57313,                0.58764,                  1.452,                 0.8395,              0.0009664,              0.0009664,              0.0009664
                     81,                0.54309,                0.60538,                0.84096,                0.54587,                0.69697,                0.63323,                0.57313,                0.58764,                  1.452,                 0.8395,             0.00097046,             0.00097046,             0.00097046
                     82,                0.60854,                0.63865,                0.90564,                0.54587,                0.69697,                0.63323,                0.57313,                0.58764,                  1.452,                 0.8395,             0.00097432,             0.00097432,             0.00097432
                     83,                0.56996,                0.62285,                0.88743,                 0.4696,                0.69697,                0.57947,                0.52325,                 0.5689,                 1.4604,                0.83581,             0.00097799,             0.00097799,             0.00097799
                     84,                0.52725,                0.58892,                0.87181,                 0.4696,                0.69697,                0.57947,                0.52325,                 0.5689,                 1.4604,                0.83581,             0.00098146,             0.00098146,             0.00098146
                     85,                0.55446,                0.59338,                0.89091,                 0.4696,                0.69697,                0.57947,                0.52325,                 0.5689,                 1.4604,                0.83581,             0.00098472,             0.00098472,             0.00098472
                     86,                0.53289,                0.62356,                0.87787,                 0.4696,                0.69697,                0.57947,                0.52325,                 0.5689,                 1.4604,                0.83581,              0.0009878,              0.0009878,              0.0009878
                     87,                0.57631,                0.60835,                0.90261,                0.57391,                 0.6939,                0.62316,                0.56257,                 0.5276,                 1.4051,                  0.827,             0.00099067,             0.00099067,             0.00099067
                     88,                0.52169,                0.58408,                0.87693,                0.57391,                 0.6939,                0.62316,                0.56257,                 0.5276,                 1.4051,                  0.827,             0.00099334,             0.00099334,             0.00099334
                     89,                0.54104,                0.56494,                0.85028,                0.57391,                 0.6939,                0.62316,                0.56257,                 0.5276,                 1.4051,                  0.827,             0.00099582,             0.00099582,             0.00099582
                     90,                0.54156,                0.58895,                0.84903,                0.57391,                 0.6939,                0.62316,                0.56257,                 0.5276,                 1.4051,                  0.827,              0.0009981,              0.0009981,              0.0009981
                     91,                0.55388,                  0.576,                0.87011,                0.79728,                0.71513,                0.79277,                0.72247,                0.53936,                 1.1965,                0.84658,              0.0010002,              0.0010002,              0.0010002
                     92,                0.53301,                0.60263,                0.89241,                0.79728,                0.71513,                0.79277,                0.72247,                0.53936,                 1.1965,                0.84658,              0.0010021,              0.0010021,              0.0010021
                     93,                0.55391,                0.62226,                0.89414,                0.79728,                0.71513,                0.79277,                0.72247,                0.53936,                 1.1965,                0.84658,              0.0010037,              0.0010037,              0.0010037
                     94,                0.54294,                0.56772,                0.83239,                0.79728,                0.71513,                0.79277,                0.72247,                0.53936,                 1.1965,                0.84658,              0.0010052,              0.0010052,              0.0010052
                     95,                0.53693,                0.57689,                0.87947,                0.89801,                0.69697,                0.82741,                0.75942,                0.52827,                 1.1907,                0.84779,              0.0010065,              0.0010065,              0.0010065
                     96,                0.59192,                 0.6757,                0.95622,                0.89801,                0.69697,                0.82741,                0.75942,                0.52827,                 1.1907,                0.84779,              0.0010076,              0.0010076,              0.0010076
                     97,                0.57534,                0.57199,                0.90206,                0.89801,                0.69697,                0.82741,                0.75942,                0.52827,                 1.1907,                0.84779,              0.0010085,              0.0010085,              0.0010085
                     98,                0.55327,                0.57689,                0.86551,                0.89801,                0.69697,                0.82741,                0.75942,                0.52827,                 1.1907,                0.84779,              0.0010092,              0.0010092,              0.0010092
                     99,                0.51565,                0.54286,                0.87742,                0.90319,                0.77273,                0.90728,                0.81871,                0.52139,                  1.124,                0.83976,              0.0010097,              0.0010097,              0.0010097
                    100,                0.52331,                0.55123,                0.87509,                0.90319,                0.77273,                0.90728,                0.81871,                0.52139,                  1.124,                0.83976,                0.00101,                0.00101,                0.00101
                    101,                 0.4972,                0.55945,                0.82809,                0.90319,                0.77273,                0.90728,                0.81871,                0.52139,                  1.124,                0.83976,                0.00101,                0.00101,                0.00101
                    102,                0.51155,                0.54926,                0.86084,                0.90319,                0.77273,                0.90728,                0.81871,                0.52139,                  1.124,                0.83976,              0.0010001,              0.0010001,              0.0010001
                    103,                0.45189,                0.58383,                 0.8817,                0.89955,                0.89394,                0.95203,                0.85302,                0.54791,                 1.0428,                0.83214,              0.0009902,              0.0009902,              0.0009902
                    104,                 0.5555,                0.56642,                0.84258,                0.89955,                0.89394,                0.95203,                0.85302,                0.54791,                 1.0428,                0.83214,              0.0009803,              0.0009803,              0.0009803
                    105,                0.57127,                0.60483,                0.87737,                0.89955,                0.89394,                0.95203,                0.85302,                0.54791,                 1.0428,                0.83214,              0.0009704,              0.0009704,              0.0009704
                    106,                0.64876,                0.64072,                0.89877,                0.89955,                0.89394,                0.95203,                0.85302,                0.54791,                 1.0428,                0.83214,              0.0009605,              0.0009605,              0.0009605
                    107,                0.55072,                0.56523,                0.86141,                0.95248,                0.91117,                0.97249,                0.86783,                0.53711,                0.93617,                0.82763,              0.0009506,              0.0009506,              0.0009506
                    108,                 0.5223,                0.54959,                0.87886,                0.95248,                0.91117,                0.97249,                0.86783,                0.53711,                0.93617,                0.82763,              0.0009407,              0.0009407,              0.0009407
                    109,                0.55484,                0.53735,                0.87146,                0.95248,                0.91117,                0.97249,                0.86783,                0.53711,                0.93617,                0.82763,              0.0009308,              0.0009308,              0.0009308
                    110,                0.63064,                0.57192,                0.90409,                0.95248,                0.91117,                0.97249,                0.86783,                0.53711,                0.93617,                0.82763,              0.0009209,              0.0009209,              0.0009209
                    111,                0.58476,                0.55868,                0.86895,                0.97022,                 0.9874,                0.99168,                0.88121,                0.51935,                0.75193,                0.83078,               0.000911,               0.000911,               0.000911
                    112,                0.53341,                0.54101,                0.88804,                0.97022,                 0.9874,                0.99168,                0.88121,                0.51935,                0.75193,                0.83078,              0.0009011,              0.0009011,              0.0009011
                    113,                0.53712,                0.53409,                0.84581,                0.97022,                 0.9874,                0.99168,                0.88121,                0.51935,                0.75193,                0.83078,              0.0008912,              0.0008912,              0.0008912
                    114,                0.54684,                 0.5398,                0.85391,                0.97022,                 0.9874,                0.99168,                0.88121,                0.51935,                0.75193,                0.83078,              0.0008813,              0.0008813,              0.0008813
                    115,                0.54357,                0.52969,                0.89168,                0.98017,                0.98485,                0.99335,                0.88632,                0.50755,                0.65143,                0.82794,              0.0008714,              0.0008714,              0.0008714
                    116,                0.55011,                 0.5585,                0.89036,                0.98017,                0.98485,                0.99335,                0.88632,                0.50755,                0.65143,                0.82794,              0.0008615,              0.0008615,              0.0008615
                    117,                0.61918,                0.66498,                0.92086,                0.98017,                0.98485,                0.99335,                0.88632,                0.50755,                0.65143,                0.82794,              0.0008516,              0.0008516,              0.0008516
                    118,                0.52704,                0.53397,                0.85637,                0.98017,                0.98485,                0.99335,                0.88632,                0.50755,                0.65143,                0.82794,              0.0008417,              0.0008417,              0.0008417
                    119,                0.48295,                0.49534,                0.84444,                0.98497,                0.99305,                0.99351,                0.88553,                0.48881,                0.61959,                0.82079,              0.0008318,              0.0008318,              0.0008318
                    120,                0.58313,                0.59707,                0.87799,                0.98497,                0.99305,                0.99351,                0.88553,                0.48881,                0.61959,                0.82079,              0.0008219,              0.0008219,              0.0008219
                    121,                0.51053,                0.51207,                0.82839,                0.98497,                0.99305,                0.99351,                0.88553,                0.48881,                0.61959,                0.82079,               0.000812,               0.000812,               0.000812
                    122,                0.54385,                0.57772,                0.91233,                0.98497,                0.99305,                0.99351,                0.88553,                0.48881,                0.61959,                0.82079,              0.0008021,              0.0008021,              0.0008021
                    123,                0.58937,                 0.5878,                0.92029,                0.94247,                0.99289,                0.98749,                0.87515,                0.51242,                0.65044,                0.82341,              0.0007922,              0.0007922,              0.0007922
                    124,                0.53819,                0.53973,                 0.8879,                0.94247,                0.99289,                0.98749,                0.87515,                0.51242,                0.65044,                0.82341,              0.0007823,              0.0007823,              0.0007823
                    125,                0.51436,                0.52488,                0.88213,                0.94247,                0.99289,                0.98749,                0.87515,                0.51242,                0.65044,                0.82341,              0.0007724,              0.0007724,              0.0007724
                    126,                0.51877,                0.51979,                0.86552,                0.94247,                0.99289,                0.98749,                0.87515,                0.51242,                0.65044,                0.82341,              0.0007625,              0.0007625,              0.0007625
                    127,                0.54289,                0.52137,                0.81977,                0.93504,                0.95455,                0.98454,                0.87381,                0.53575,                0.68086,                0.83423,              0.0007526,              0.0007526,              0.0007526
                    128,                0.54701,                0.53536,                0.85989,                0.93504,                0.95455,                0.98454,                0.87381,                0.53575,                0.68086,                0.83423,              0.0007427,              0.0007427,              0.0007427
                    129,                0.52211,                0.51645,                0.89172,                0.93504,                0.95455,                0.98454,                0.87381,                0.53575,                0.68086,                0.83423,              0.0007328,              0.0007328,              0.0007328
                    130,                0.51377,                0.52733,                0.85702,                0.93504,                0.95455,                0.98454,                0.87381,                0.53575,                0.68086,                0.83423,              0.0007229,              0.0007229,              0.0007229
                    131,                0.55048,                0.54616,                0.88396,                0.96576,                0.95455,                0.99022,                0.87019,                 0.5374,                0.67679,                0.84097,               0.000713,               0.000713,               0.000713
                    132,                0.51365,                0.54262,                0.87094,                0.96576,                0.95455,                0.99022,                0.87019,                 0.5374,                0.67679,                0.84097,              0.0007031,              0.0007031,              0.0007031
                    133,                0.56245,                0.54408,                 0.8621,                0.96576,                0.95455,                0.99022,                0.87019,                 0.5374,                0.67679,                0.84097,              0.0006932,              0.0006932,              0.0006932
                    134,                0.50806,                0.53036,                0.84555,                0.96576,                0.95455,                0.99022,                0.87019,                 0.5374,                0.67679,                0.84097,              0.0006833,              0.0006833,              0.0006833
                    135,                0.52632,                0.55815,                0.88025,                0.94138,                      1,                0.99169,                 0.8729,                0.52939,                0.65298,                0.83415,              0.0006734,              0.0006734,              0.0006734
                    136,                 0.5453,                 0.5418,                0.86793,                0.94138,                      1,                0.99169,                 0.8729,                0.52939,                0.65298,                0.83415,              0.0006635,              0.0006635,              0.0006635
                    137,                0.58706,                0.57011,                0.90401,                0.94138,                      1,                0.99169,                 0.8729,                0.52939,                0.65298,                0.83415,              0.0006536,              0.0006536,              0.0006536
                    138,                0.48336,                 0.5147,                0.85124,                0.94138,                      1,                0.99169,                 0.8729,                0.52939,                0.65298,                0.83415,              0.0006437,              0.0006437,              0.0006437
                    139,                0.48186,                0.53158,                0.84278,                0.95604,                0.98851,                0.99169,                0.88413,                0.51842,                0.61545,                0.83126,              0.0006338,              0.0006338,              0.0006338
                    140,                0.47944,                0.50653,                 0.8523,                0.95604,                0.98851,                0.99169,                0.88413,                0.51842,                0.61545,                0.83126,              0.0006239,              0.0006239,              0.0006239
                    141,                0.52655,                0.50877,                0.84722,                0.95604,                0.98851,                0.99169,                0.88413,                0.51842,                0.61545,                0.83126,               0.000614,               0.000614,               0.000614
                    142,                0.55309,                  0.534,                0.86958,                0.95604,                0.98851,                0.99169,                0.88413,                0.51842,                0.61545,                0.83126,              0.0006041,              0.0006041,              0.0006041
                    143,                0.53392,                0.51468,                0.85195,                 0.9429,                0.98485,                0.99264,                0.88943,                0.48848,                0.58088,                0.82756,              0.0005942,              0.0005942,              0.0005942
                    144,                 0.5136,                0.52315,                0.87975,                 0.9429,                0.98485,                0.99264,                0.88943,                0.48848,                0.58088,                0.82756,              0.0005843,              0.0005843,              0.0005843
                    145,                0.50092,                0.50049,                0.85064,                 0.9429,                0.98485,                0.99264,                0.88943,                0.48848,                0.58088,                0.82756,              0.0005744,              0.0005744,              0.0005744
                    146,                0.49133,                0.52872,                0.86097,                 0.9429,                0.98485,                0.99264,                0.88943,                0.48848,                0.58088,                0.82756,              0.0005645,              0.0005645,              0.0005645
                    147,                0.45904,                0.47968,                0.82655,                0.98204,                0.98485,                0.99471,                0.88927,                0.48835,                0.55035,                0.82806,              0.0005546,              0.0005546,              0.0005546
                    148,                0.48811,                0.49382,                 0.8406,                0.98204,                0.98485,                0.99471,                0.88927,                0.48835,                0.55035,                0.82806,              0.0005447,              0.0005447,              0.0005447
                    149,                0.51837,                0.49503,                0.86502,                0.98204,                0.98485,                0.99471,                0.88927,                0.48835,                0.55035,                0.82806,              0.0005348,              0.0005348,              0.0005348
                    150,                0.48335,                0.55789,                0.87262,                0.98204,                0.98485,                0.99471,                0.88927,                0.48835,                0.55035,                0.82806,              0.0005249,              0.0005249,              0.0005249
                    151,                0.52316,                0.50611,                0.87683,                0.99875,                      1,                  0.995,                0.88156,                0.49164,                0.52421,                0.82754,               0.000515,               0.000515,               0.000515
                    152,                0.43889,                0.49794,                0.84969,                0.99875,                      1,                  0.995,                0.88156,                0.49164,                0.52421,                0.82754,              0.0005051,              0.0005051,              0.0005051
                    153,                 0.5144,                0.50906,                0.89239,                0.99875,                      1,                  0.995,                0.88156,                0.49164,                0.52421,                0.82754,              0.0004952,              0.0004952,              0.0004952
                    154,                0.48399,                0.51424,                0.85058,                0.99875,                      1,                  0.995,                0.88156,                0.49164,                0.52421,                0.82754,              0.0004853,              0.0004853,              0.0004853
                    155,                0.45928,                0.49604,                0.84758,                 0.9964,                      1,                  0.995,                0.88757,                0.47493,                 0.5249,                0.82079,              0.0004754,              0.0004754,              0.0004754
                    156,                0.50566,                0.48708,                0.87345,                 0.9964,                      1,                  0.995,                0.88757,                0.47493,                 0.5249,                0.82079,              0.0004655,              0.0004655,              0.0004655
                    157,                0.44819,                0.47508,                0.83066,                 0.9964,                      1,                  0.995,                0.88757,                0.47493,                 0.5249,                0.82079,              0.0004556,              0.0004556,              0.0004556
                    158,                0.46221,                0.48047,                0.85255,                 0.9964,                      1,                  0.995,                0.88757,                0.47493,                 0.5249,                0.82079,              0.0004457,              0.0004457,              0.0004457
