                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0956,                 1.3647,                 1.2022,                0.65828,                0.53205,                0.61516,                0.45691,                 1.0813,                 1.1282,                 1.1243,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 1.1543,                 1.3702,                 1.2408,                0.68037,                0.53978,                 0.6331,                0.47073,                 1.0763,                 1.0994,                 1.1213,              1.196e-05,              1.196e-05,              1.196e-05
                      2,                 1.1632,                 1.3765,                 1.2423,                0.69753,                0.53338,                0.63759,                0.47487,                 1.0757,                 1.0881,                 1.1206,             9.3058e-06,             9.3058e-06,             9.3058e-06
