                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.73308,                 2.8088,                0.98462,                0.01422,                 0.9697,                0.26201,                0.22773,                 0.4418,                 2.8718,                0.82237,                      0,                      0,                      0
                      1,                0.72737,                 2.9968,                0.90264,                0.01422,                 0.9697,                0.28496,                 0.2474,                0.43466,                 2.8687,                0.82025,               1.34e-05,               1.34e-05,               1.34e-05
                      2,                0.65784,                 2.8923,                0.89779,                0.01422,                 0.9697,                0.31671,                0.26692,                0.42961,                 2.8655,                0.81798,               1.36e-05,               1.36e-05,               1.36e-05
