                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.42108,                0.60403,                0.85007,                      1,                0.75025,                0.90951,                0.88384,                0.32889,                 1.6177,                0.78288,              0.0002149,              0.0002149,              0.0002149
                     36,                0.40871,                0.55875,                0.81919,                      1,                0.76534,                0.92603,                0.90422,                0.31274,                 1.5401,                0.78167,             0.00020678,             0.00020678,             0.00020678
                     37,                0.40906,                0.55867,                 0.8064,                      1,                0.76534,                0.92603,                0.90422,                0.31274,                 1.5401,                0.78167,             0.00019788,             0.00019788,             0.00019788
                     38,                0.41119,                0.59349,                0.82941,                      1,                0.78424,                0.93984,                0.90171,                0.31214,                 1.4639,                0.78239,             0.00018818,             0.00018818,             0.00018818
                     39,                0.38508,                0.55195,                0.82168,                      1,                0.78424,                0.93984,                0.90171,                0.31214,                 1.4639,                0.78239,             0.00017768,             0.00017768,             0.00017768
                     40,                0.32965,                0.52198,                0.78118,                      1,                0.84228,                0.94442,                  0.911,                0.31018,                 1.4035,                0.78094,              0.0001664,              0.0001664,              0.0001664
                     41,                 0.3351,                0.51561,                0.80584,                      1,                0.84228,                0.94442,                  0.911,                0.31018,                 1.4035,                0.78094,             0.00015432,             0.00015432,             0.00015432
                     42,                0.31951,                 0.5014,                0.79406,                      1,                0.86887,                0.94745,                0.90826,                0.32459,                 1.3468,                0.78153,             0.00014146,             0.00014146,             0.00014146
                     43,                0.32194,                0.53179,                0.80983,                      1,                0.86887,                0.94745,                0.90826,                0.32459,                 1.3468,                0.78153,              0.0001278,              0.0001278,              0.0001278
                     44,                0.33028,                0.53479,                0.80235,                0.99989,                0.87671,                0.95129,                0.91167,                0.32069,                 1.2955,                0.78069,             0.00011334,             0.00011334,             0.00011334
                     45,                0.30644,                0.50801,                0.76884,                0.99989,                0.87671,                0.95129,                0.91167,                0.32069,                 1.2955,                0.78069,               9.81e-05,               9.81e-05,               9.81e-05
                     46,                0.32687,                0.47957,                0.78496,                0.99462,                0.87671,                0.95458,                0.91411,                0.30777,                 1.2466,                0.77864,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     47,                0.29167,                0.48202,                0.79077,                0.99462,                0.87671,                0.95458,                0.91411,                0.30777,                 1.2466,                0.77864,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     48,                 0.3095,                0.51189,                0.77261,                0.99088,                0.87671,                0.96251,                0.92337,                0.29926,                 1.1954,                  0.778,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     49,                 0.2807,                0.46816,                0.78023,                0.99088,                0.87671,                0.96251,                0.92337,                0.29926,                 1.1954,                  0.778,             2.9204e-05,             2.9204e-05,             2.9204e-05
