                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.78182,                 3.8183,                0.99837,                0.76087,                 0.5303,                0.64436,                0.58797,                0.49675,                 3.9637,                0.84387,                      0,                      0,                      0
                      1,                0.81039,                 4.3018,                0.94233,                   0.75,                0.54545,                0.64167,                0.58368,                0.49619,                 3.9291,                  0.844,              7.973e-07,              7.973e-07,              7.973e-07
                      2,                0.77353,                 4.1235,                0.95272,                    0.8,                0.54545,                0.66065,                0.60072,                0.49626,                 3.8984,                0.84409,              8.092e-07,              8.092e-07,              8.092e-07
